USITEID,YSITEID,SITECODE,REGION,lon,lat,MONTH,YEAR,SURVEY,ANNUAL,COUNTRY,REGION,DISTRICT,COMMUNITY,USWBTYPE,WBFLOW,HUMAN,RAMSAR,ENDEM_CASE,ENDEM_DIST,BU_2003,BU_2004,BU_2005,BU_2006,BU_2007,BU_TOTAL,Soil Type,FTemp,FSPECCOND,LELECTCOND,FDO,FPH,LPH,ORP,FTURB,LTURB,CHLORO,COLORAP,SUSSOLIDS,DISSOLIDS,NA,K,CA,MG,FE,CL,SO4,PO4P,MN,NO2N,NO3N,TOTHARD,TOTALK,CALHARD,MAGHARD,HCO3,AS,NH4,F,NF.ER.(N),NF.ER.NoPos(N),NF.ER.Positivity,NF.NoforVNTR,NF.VNTR.MU(N),NF.VNTR.MU.NoPos(N),NF.VNTR.Positivity(MU),NF.Total.MU.Positivity,NF.VNTR.MPM(N),NF.VNTR.NoPos.MPM(N),NF.VNTR.Positivity(MPM),NF.Total.MPM.Positivity,FF.ER(N),FF.ER.NoPos(N),FF.ER.Positivity,FF.NoforVNTR,FF.VNTR.MU(N),FF.VNTR.MU.NoPos(N),FF.VNTR.Positivity(MU),FF.Total.MU.Positivity,FF.VNTR.MPM(N),FFVNTR.NoPos.MPM(N),FF.VNTR.Positivity(MPM),FF.Total.MPM.Positivity,Plant.A,Plant.B,Plant.C,A.ER,B.ER,C.ER,ER(N),Plant.ER.NoPos(N),Plant.ER.Positivity,MU.A.VNTR,MU.B.VNTR,MU.C.VNTR,Plant.MU.VNTR(N),Plant.MU.VNTR.NoPos(N),Plant.MU.VNTR.Positivity,Plant.Total.MU.Positivity,MPM.A.VNTR,MPM.B.VNTR,MPM.C.VNTR,MPM.VNTR.(N),Plant.MPM.VNTR.NoPos(N),Plant.MPM.VNTR.Positivity,Plant.Total.MPM.Positivity,Avg.MU.Total.VNTR.Positivity,Total.MU.Present.(VNTR),Avg.MPM.Total.VNTR.Positivity,Total.MPM.Present.(VNTR),Avg.Filter.VNTR.MU,Avg.Filter.VNTR.MPM,Filter.MU.Present.(VNTR),Plant.MU.Present.(VNTR),Filter.MPM.Present.(VNTR),Plant.MPM.Present.(VNTR),Total.ER.Present,Total.ER.NoPos(N),Avg.Total.ER.Positivity
S.6.33,33,ATM-PAM-E-0806-33,Ashanti,-2.24979,6.52425,8,2006,Survey,N,Ghana,Ashanti,Atwima Mponuah,Pamuruso,stream,lotic,nature,M,N,E,0,0,0,0,0,0,Orthic Acrisols,23.4,44.0,46.3,76.8,6.9,6.6,103.6,14.5,18.5,3.0,30,4,25.5,NA,NA,4.8,2.9,0.8,3.0,0.5,0.118,0.0025,0.007,2.700,24.0,20.0,12.0,12.0,24.4,0.0005,0.108,0.516,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Grasses,Wood pieces,Detritus,1,1,1,3,3,1.00,0,0,0,3,0,0.00,0.00,0,0,0,3,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,1,3,0.33
S.6.43,43,AMW-GRO-E-0806-43,Ashanti,-2.01478,6.12844,8,2006,Survey,N,Ghana,Ashanti,Amansie West,Groso,riverine wetland,lentic,nature,TS,E,E,5,4,0,0,0,9,Orthic Acrisols,24.4,87.4,105,11.1,6.1,6.5,157.4,37.1,56.4,6.4,100,16,57.8,NA,NA,6.4,3.9,3.4,8.9,0.5,0.251,0.049,0.006,1.170,32.0,14.0,16.0,16.0,17.1,0.0005,0.608,0.469,6,6,1.00,6,6,0,0.00,0.00,6,2,0.33,0.33,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Commelina,None,Detritus,1,NA,1,2,2,1.00,0,NA,0,2,0,0.00,0.00,1,NA,1,2,2,1.00,1.00,0.00,0,0.44,1,0.00,0.17,0,0,1,1,1,8,0.67
S.7.21,22,ATN-ABO-E-0807-22,Ashanti,-1.92522,6.73738,8,2007,Survey,N,Ghana,Ashanti,Ahafo Ano South,Abompe,river,lotic,nature,M,N,E,0,0,NA,NA,NA,0,Orthic Acrisols,25.4,187.0,74.0,74.8,7.2,7.4,73.7,15.5,1.6,8.603,5,10,40.7,5,1.9,8.8,3.4,0.935,1,5.76,0.216,0.053,0.004,1.8,36,36,22,14,43.9,NA,0.0005,0.0025,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,Ficus exasperate,Ficus exasperate,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.7.23,24,ATM-ANI-E-0907-24,Ashanti,-2.0295,6.54083,9,2007,Survey,N,Ghana,Ashanti,Atwima Mponuah,Aniamoa,stream,lotic,nature,M,E,E,11,4,NA,NA,NA,15,Orthic Acrisols,25.9,116.0,128.0,65.0,6.7,7.0,58.7,77.8,67.7,6.689,10,27,70.4,11.6,4.6,11.2,3.9,3.33,4,10,0.382,0.041,0.016,3.11,44,56,28.1,15.9,68.3,NA,0.0005,0.0025,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,Brachiaria,Brachiaria,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.7.26,27,AAN-SER-E-0907-27,Ashanti,-1.02683,6.94313,9,2007,Survey,N,Ghana,Ashanti,Asante Akim North,Serebuoso,river,lotic,nature,M,E,E,5,6,3,2,NA,16,Lithosols_ferric lu,24.2,116.0,116.0,68.3,6.4,6.7,168.9,138.4,116,11.976,10,64,63.8,7,2.6,9.6,3.4,2.54,7.9,12.3,0.417,0.067,0.044,3.97,38,24,24,14,29.3,NA,0.0005,0.0025,5,5,1.00,5,5,0,0.00,0.00,5,0,0.00,0.00,5,1,0.20,5,1,0,0.00,0.00,1,0,0.00,0.00,Brachiaria,Potomogetan,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,1,6,0.40
S.5.11,12,AMW-BON-E-0805-12,Ashanti,-1.99909,6.23316,8,2005,Survey,Annual,Ghana,Ashanti,Amansie West,Bonsaaso,fetch,lentic,human,7,E,E,3,7,1,2,0,13,Orthic Acrisols,24.2,175.6,210,23.9,6.8,6.9,72.7,49.14,136.00,16.2,180,4,116,16,6,9.6,2.9,2.2,7.9,8.9,0.000,0.011,0.055,0.287,36.0,58.0,24.0,12.0,70.8,2.29,NA,NA,8,3,0.38,8,1,1,1.00,0.13,1,0,0.00,0.00,5,1,0.20,5,1,1,1.00,0.20,1,0,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,1,#VALUE!,0,0.16,0.00,1,NA,0,NA,1,#VALUE!,#VALUE!
S.5.15,16,AMW-NYA-E-0805-16,Ashanti,-1.9257,6.17479,8,2005,Survey,Annual,Ghana,Ashanti,Amansie West,Nyame Bekyere,river,lotic,nature,M,E,E,1,0,1,1,0,3,Orthic Acrisols,25.6,286.9,285,82.3,7.6,7.0,64.5,11.69,11.20,10.3,10,3,157,5,8,10.4,5.8,1.1,5.0,7.5,0.000,0.028,0.009,1.920,50.0,70.0,26.0,24.0,85.4,3.33,NA,NA,8,7,0.88,6,5,2,0.40,0.33,5,0,0.00,0.00,5,4,0.80,5,4,0,0.00,0.00,4,0,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,1,#VALUE!,0,0.17,0.00,1,NA,0,NA,1,#VALUE!,#VALUE!
S.6.31,31,ATM-BAR-E-0706-31,Ashanti,-2.17884,6.54168,7,2006,Survey,N,Ghana,Ashanti,Atwima Mponuah,Barniekrom,stream,lotic,nature,M,N,E,0,0,0,NA,0,0,Orthic Acrisols,24.1,55.0,56.5,72.8,6.9,6.6,102.6,10.9,18.5,3.0,35,4,31.1,NA,NA,3.2,4.4,1.2,3.0,0.5,0.109,0.007,0.020,0.899,26.0,22.0,8.0,18.0,26.8,0.0005,0.301,0.449,6,1,0.17,6,1,1,1.00,0.17,1,0,0.00,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Grasses,Commelina,Detritus,1,1,1,3,3,1.00,0,0,0,3,0,0.00,0.00,0,0,0,3,0,0.00,0.00,0.06,1,0.00,0,0.08,0.00,1,0,0,0,1,4,0.39
S.6.34,34,ATM-JER-E-0806-34,Ashanti,-2.33293,6.62637,8,2006,Survey,N,Ghana,Ashanti,Atwima Mponuah,Jerusalem,stream,lotic,nature,M,E,E,0,0,0,1,0,1,Orthic Acrisols,23.8,196.0,191,67.1,7.5,7.0,83.8,81.3,116,7.6,150,12,105,NA,NA,19.2,6.8,3.6,7.9,14.5,0.296,0.035,0.0005,1.300,76.0,24.0,48.1,27.9,29.3,0.0005,0.487,0.324,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Brachiara,Commelina,Detritus,1,1,1,3,3,1.00,1,0,0,3,1,0.33,0.33,0,0,0,3,0,0.00,0.00,0.11,1,0.00,0,0.00,0.00,0,1,0,0,1,3,0.33
S.6.35,35,ATM-BOF-E-0806-35,Ashanti,-2.19869,6.59772,8,2006,Survey,N,Ghana,Ashanti,Atwima Mponuah,Bofaso,stream,lotic,nature,M,N,E,0,0,0,0,0,0,Orthic Acrisols,23.5,52.3,55.1,76.2,6.7,6.8,58.7,9.8,18.3,1.3,30,6,30.3,NA,NA,3.2,3.9,0.7,3.0,0.5,0.120,0.0025,0.009,1.440,24.0,24.0,8.0,16.0,29.3,0.003,0.246,0.397,6,1,0.17,6,1,0,0.00,0.00,1,0,0.00,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Commelina,None,Detritus,1,NA,1,2,2,1.00,1,NA,1,2,2,1.00,1.00,0,NA,0,2,0,0.00,0.00,0.33,1,0.00,0,0.00,0.00,0,1,0,0,1,3,0.39
S.6.36,36,ATM-AKE-E-0806-36,Ashanti,-2.09273,6.66873,8,2006,Survey,N,Ghana,Ashanti,Atwima Mponuah,Akentensu,stream,lotic,nature,M,E,E,0,0,0,1,0,1,Orthic Acrisols,24.1,39.0,40,74.5,6.8,6.5,57.7,10.4,16.8,1.4,20,4,22,NA,NA,3.2,3.9,0.6,1.0,0.5,0.107,0.0025,0.004,0.846,24.0,18.0,8.0,16.0,22.0,0.003,0.008,0.728,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Grasses,None,Detritus,1,NA,0,2,1,0.50,1,NA,NA,1,1,1.00,0.50,0,NA,NA,1,0,0.00,0.00,0.17,1,0.00,0,0.00,0.00,0,1,0,0,1,1,0.17
S.6.37,37,AMW-MPA-E-0806-37,Ashanti,-1.9355,6.5444,8,2006,Survey,N,Ghana,Ashanti,Amansie West,Mpatuom,wetland,lentic,human,6,E,E,0,2,2,2,0,6,Orthic Acrisols,25.7,163.1,163,13.2,6.9,6.7,45.0,5.0,24.3,2.4,30,3,89.7,NA,NA,8.8,7.8,0.8,5.0,0.5,0.092,0.035,0.0005,0.303,54.0,64.0,22.0,32.0,78.1,0.0005,0.158,0.568,6,1,0.17,6,1,0,0.00,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Nymphaea,Typha,Detritus,1,1,1,3,3,1.00,0,1,1,3,2,0.67,0.67,0,0,0,3,0,0.00,0.00,0.22,1,0.00,0,0.00,0.00,0,1,0,0,1,4,0.39
S.6.38,38,ATM-KOB-E-0806-38,Ashanti,-1.86081,6.59742,8,2006,Survey,N,Ghana,Ashanti,Atwima Mponuah,Kobeng,stream,lotic,nature,N,E,E,0,1,0,0,0,1,Orthic Acrisols,23.4,696.3,342,24.4,6.9,6.7,-188.1,18.3,141,125.7,150,20,188,NA,NA,22.4,13.1,3.2,38.7,0.5,0.123,0.099,0.036,1.360,110.0,124.0,56.1,53.9,151.0,0.004,0.205,0.754,6,6,1.00,6,6,6,1.00,1.00,6,0,0.00,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Commelina,None,Detritus,1,NA,1,2,2,1.00,1,NA,0,2,1,0.50,0.50,0,NA,0,2,0,0.00,0.00,0.50,1,0.00,0,0.50,0.00,1,1,0,0,1,8,0.67
S.6.39,39,AME-SEN-E-0806-39,Ashanti,-1.63127,6.50686,8,2006,Survey,N,Ghana,Ashanti,Amansie East,Senfi,riverine wetland,lentic,nature,N,E,E,0,0,0,0,1,1,Orthic Acrisols,23.8,137.9,140,8.9,5.6,6.2,151.0,75.9,11.5,5.1,15,2,77,NA,NA,1.6,7.8,0.6,21.8,4.6,0.104,0.078,0.005,21.000,36.0,22.0,4.0,32.0,26.8,0.005,0.300,0.630,6,6,1.00,6,6,5,0.83,0.83,6,0,0.00,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Nymphaea,Commelina,Detritus,1,1,1,3,3,1.00,0,0,0,3,0,0.00,0.00,0,0,0,3,0,0.00,0.00,0.28,1,0.00,0,0.42,0.00,1,0,0,0,1,9,0.67
S.6.40,40,AME-OFO-E-0806-40,Ashanti,-1.64132,6.47629,8,2006,Survey,N,Ghana,Ashanti,Amansie East,Ofoasi Kokobeng,riverine wetland,lentic,human,6,E,E,0,0,0,1,2,3,Orthic Acrisols,25.2,182.0,187,5.6,6.7,6.6,-55.4,36.0,31.9,11.0,60,6,103,NA,NA,13.6,5.3,1.2,13.9,4.4,0.123,0.047,0.013,0.964,56.0,74.0,34.1,21.9,90.3,0.004,0.227,0.552,6,1,0.17,6,1,1,1.00,0.17,6,0,0.00,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Pistia,Brachiara,Detritus,0,0,1,3,1,0.33,NA,NA,0,1,0,0.00,0.00,NA,NA,1,1,1,1.00,0.33,0.06,1,0.11,1,0.08,0.00,1,0,0,1,1,2,0.17
S.6.41,41,ADE-ASI-E-0806-41,Ashanti,-1.40962,6.16573,8,2006,Survey,N,Ghana,Ashanti,Adansi South,Asirifikrom,fetch,lentic,human,2,N,E,0,0,0,0,0,0,Orthic Acrisols,24.1,58.1,58,24.3,5.6,6.3,162.4,178.6,36,8.1,40,5,31.9,NA,NA,4.0,1.9,0.8,7.9,6.1,0.111,0.016,0.011,2.010,18.0,16.0,10.0,8.0,19.5,0.004,0.402,0.501,6,5,0.83,6,5,2,0.40,0.33,5,0,0.00,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Ludwigia,None,Detritus,1,NA,0,2,1,0.50,0,NA,NA,1,0,0.00,0.00,1,NA,NA,1,1,1.00,0.50,0.11,1,0.17,1,0.17,0.00,1,0,0,1,1,6,0.44
S.6.42,42,BEK-NSU-E-0806-42,Ashanti,-1.2595,6.1553,8,2006,Survey,N,Ghana,Ashanti,Amansie East,Nsuta,stream,lotic,nature,M,N,E,0,0,0,0,0,0,Orthic Acrisols,24.5,228.1,216,19.9,6.9,6.8,-2.2,25.1,17.2,8.1,40,4,119,NA,NA,14.4,10.2,1.0,17.9,5.2,0.135,0.326,0.0005,0.207,78.0,92.0,36.1,41.9,112.0,0.004,0.516,0.703,6,6,1.00,6,6,2,0.33,0.33,6,1,0.17,0.17,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Ludwigia,Struchium sparganophora,Detritus,1,1,1,3,3,1.00,1,0,0,3,1,0.33,0.33,0,1,1,3,2,0.67,0.67,0.22,1,0.28,1,0.17,0.08,1,1,1,1,1,9,0.67
S.6.44,44,AMW-MAD-E-0806-44,Ashanti,-1.90626,6.46616,8,2006,Survey,N,Ghana,Ashanti,Amansie West,Manso Dominase,stream,lotic,nature,M,N,E,0,0,0,0,0,0,Orthic Acrisols,25.2,131.3,140,79.3,7.1,7.0,42.4,7.1,9.3,1.7,15,2,77,NA,NA,10.4,7.8,1.1,5.0,4.9,0.114,0.063,0.009,1.690,58.0,82.0,26.1,31.9,100.0,0.0005,0.114,0.444,6,6,1.00,6,6,1,0.17,0.17,6,0,0.00,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Nymphaea,Commelina,Detritus,0,1,1,3,2,0.67,NA,0,0,2,0,0.00,0.00,NA,0,0,2,0,0.00,0.00,0.06,1,0.00,0,0.08,0.00,1,0,0,0,1,8,0.56
S.6.45,45,AMC-KOB-E-0806-45,Ashanti,-1.88503,6.28616,8,2006,Survey,N,Ghana,Ashanti,Amansie Central,Kobro,stream,lotic,nature,M,N,E,NA,NA,NA,0,0,0,Orthic Acrisols,23.6,197.7,89.1,0.3,6.6,6.4,31.0,353.7,43,0.3,150,18,49,NA,NA,12.0,1.4,7.4,5.0,0.5,0.213,0.059,0.0005,0.729,36.0,36.0,30.1,5.9,43.9,0.019,0.857,0.723,6,6,1.00,6,6,3,0.50,0.50,6,1,0.17,0.17,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Ludwigia,Commelina,Detritus,1,1,1,3,3,1.00,0,0,0,3,0,0.00,0.00,0,0,0,3,0,0.00,0.00,0.17,1,0.06,1,0.25,0.08,1,0,1,0,1,9,0.67
S.6.46,46,AMC-ABU-E-0806-46,Ashanti,-1.85421,6.29638,8,2006,Survey,N,Ghana,Ashanti,Amansie Central,Abuakwaa,stream,lotic,nature,M,E,E,NA,NA,NA,2,3,5,Orthic Acrisols,24.2,141.4,144,39.5,6.7,6.6,15.0,89.0,35.5,9.1,70,6,79.2,NA,NA,13.6,2.9,2.5,10.9,4.1,0.123,0.035,0.0005,0.0005,46.0,54.0,34.1,11.9,65.9,0.013,0.267,0.635,6,6,1.00,6,6,2,0.33,0.33,6,1,0.17,0.17,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Ludwigia,Brachiara,Detritus,0,1,1,3,2,0.67,NA,0,0,2,0,0.00,0.00,NA,0,1,2,1,0.50,0.33,0.11,1,0.17,1,0.17,0.08,1,0,1,1,1,8,0.56
S.6.47,47,AMW-MAA-E-0806-47,Ashanti,-1.81314,6.41322,8,2006,Survey,N,Ghana,Ashanti,Amansie West,Manso Abodom,stream,lotic,nature,M,E,E,1,0,1,NA,0,2,Orthic Acrisols,24.7,196.7,192,79.3,7.4,6.9,79.4,61.3,68.7,9.2,120,14,106,NA,NA,12.0,7.8,3.9,19.9,0.5,0.369,0.073,0.002,0.921,62.0,66.0,30.1,31.9,80.5,0.006,0.241,0.479,6,4,0.67,6,4,2,0.50,0.33,6,0,0.00,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Brachiara,None,Detritus,1,NA,1,2,2,1.00,1,NA,0,2,1,0.50,0.50,0,NA,1,2,1,0.50,0.50,0.28,1,0.17,1,0.17,0.00,1,1,0,1,1,6,0.56
S.6.50,50,KWA-ACH-E-0806-50,Ashanti,-1.53734,6.73669,8,2006,Survey,N,Ghana,Ashanti,Kwabre,Achiasi,fetch,lentic,human,2,E,E,1,0,0,0,0,1,Lithosols,23.3,66.0,67.5,34.8,5.5,6.4,167.6,92.8,11,14.1,10,2,37.1,NA,NA,3.2,2.9,0.2,6.9,5.2,0.097,0.0025,0.009,10.700,20.0,16.0,8.0,12.0,19.5,0.0005,0.109,0.499,6,6,1.00,6,6,4,0.67,0.67,6,0,0.00,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Sagitaria,None,Detritus,1,NA,1,2,2,1.00,0,NA,0,2,0,0.00,0.00,0,NA,1,2,1,0.50,0.50,0.22,1,0.17,1,0.33,0.00,1,0,0,1,1,8,0.67
S.7.20,21,ATN-KYE-E-0807-21,Ashanti,-1.87409,6.71566,8,2007,Survey,N,Ghana,Ashanti,Atwima,Kyenkyentaa,river,lotic,nature,M,E,E,0,1,NA,NA,NA,1,Orthic Acrisols,25.2,185.1,195.0,74.6,7.2,7.3,102.3,16.4,13.9,8.697,10,12,107,15.3,8.7,17.6,6.3,2.2,9.9,16.2,0.36,0.07,0.023,2.36,70,82,44.1,25.9,100,NA,0.0005,0.093,5,1,0.20,5,1,0,0.00,0.00,1,0,0.00,0.00,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,Commelina,Potomogetan,Detritus,0,1,0,3,1,0.33,NA,1,NA,1,1,1.00,0.33,NA,0,NA,1,0,0.00,0.00,0.11,1,0.00,0,0.00,0.00,0,1,0,0,1,2,0.18
S.7.22,23,ATM-BAA-E-0907-23,Ashanti,-2.08811,6.63783,9,2007,Survey,N,Ghana,Ashanti,Atwima Mponuah,Baakoniaba,stream,lotic,nature,M,N,E,0,0,NA,NA,NA,0,Orthic Acrisols,24.0,67.0,77.8,69.1,6.4,6.8,130.0,56.1,57,9.634,10,40,42.8,7.6,4.2,9.6,2.4,2.75,7.9,6.1,0.218,0.024,0.019,2.62,34,34,24,10,41.5,NA,0.0005,0.0025,5,1,0.20,5,1,1,1.00,0.20,1,1,1.00,0.20,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,Brachiaria,Struchium,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.07,1,0.07,1,0.10,0.10,1,0,1,0,1,1,0.07
S.7.24,25,ATN-ADA-E-0907-25,Ashanti,-1.75102,6.94899,9,2007,Survey,N,Ghana,Ashanti,Offinso,Adagya,river,lotic,nature,M,N,E,0,0,NA,NA,NA,0,Orthic Acrisols,24.0,129.9,138.0,69.8,6.9,7.1,124.7,51.8,49.6,11.876,10,28,75.9,18.4,8.8,11.2,3.4,3.22,9.9,27.1,0.509,0.034,0.022,1.59,42,52,28.1,13.9,63.4,NA,0.0005,0.0025,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,5,4,0.80,5,4,0,0.00,0.00,4,0,0.00,0.00,Brachiaria,Struchium,Detritus,1,1,1,3,3,1.00,1,1,0,3,2,0.67,0.67,0,0,0,3,0,0.00,0.00,0.22,1,0.00,0,0.00,0.00,0,1,0,0,1,7,0.60
S.7.25,26,ATN-ATA-E-0907-26,Ashanti,-1.76859,6.90613,9,2007,Survey,N,Ghana,Ashanti,Atwima,Ataase,river,lotic,nature,M,N,E,0,0,NA,NA,NA,0,Orthic Acriso,23.8,120.6,131.0,64.2,6.7,6.9,120.1,41.3,43.3,13.114,10,18,72.1,12.8,8.9,14.4,2.4,2.89,6,16.3,0.41,0.053,0.025,2.58,46,50,36.1,9.9,61,NA,0.0005,0.143,5,3,0.60,5,3,2,0.67,0.40,3,2,0.67,0.40,5,1,0.20,5,1,1,1.00,0.20,1,0,0.00,0.00,Brachiaria,Commelina,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.20,1,0.13,1,0.30,0.20,1,0,1,0,1,4,0.27
S.7.27,28,AAN-ANA-E-0907-28,Ashanti,-1.01325,6.91456,9,2007,Survey,N,Ghana,Ashanti,Asante Akim North,Ananekrom,stream,lotic,nature,M,E,E,6,8,20,32,NA,66,Lithosols_ferric lu,25.0,280.2,271.0,75.1,6.2,6.6,141.6,89.0,90,5.071,10,30,149,39.5,12.8,12,4.4,2.93,67.5,29.2,0.374,0.039,0.068,0.974,48,10,30.1,17.9,12.2,NA,0.0005,0.0025,5,5,1.00,5,5,0,0.00,0.00,5,0,0.00,0.00,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,Brachiara,Sphenocleaceae,Detritus,0,1,0,3,1,0.33,NA,1,NA,1,1,1.00,0.33,NA,0,NA,1,0,0.00,0.00,0.11,1,0.00,0,0.00,0.00,0,1,0,0,1,6,0.44
S.7.28,29,AAN-AGO-E-0907-29,Ashanti,-1.07714,6.79781,9,2007,Survey,N,Ghana,Ashanti,Asante Akim North,Agogo,riverine wetland,lentic,nature,TP,E,E,5,5,4,4,NA,18,Orthic Acrisols,24.2,98.8,99.2,13.1,5.8,6.3,145.4,69.2,70,4.310,10,12,54.6,6.4,9.3,8,3.9,3.24,9.9,3.6,0.118,0.104,0.035,8,36,32,20,16,39,NA,0.0005,0.0025,5,5,1.00,5,5,1,0.20,0.20,5,1,0.20,0.20,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,Cyclosorus,Pistia,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.07,1,0.07,1,0.10,0.10,1,0,1,0,1,5,0.33
S.7.29,30,AAN-PAT-E-0907-30,Ashanti,-1.17576,6.66068,9,2007,Survey,N,Ghana,Ashanti,Asante Akim North,Patrensa,riverine wetland,lentic,nature,TP,N,E,0,0,0,0,NA,0,Orthic Acrisols,24.3,97.1,105.0,4.4,6.1,6.7,100.8,61.0,69,12.151,10,26,57.8,3.3,8.3,9.6,3.4,6.14,6,4.3,0.313,0.059,0.053,0.964,38,38,24,14,46.4,NA,0.0005,0.0025,5,5,1.00,5,5,3,0.60,0.60,5,3,0.60,0.60,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,Nymphaea,Cyclosorus,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.20,1,0.20,1,0.30,0.30,1,0,1,0,1,5,0.33
S.5.16,17,UDE-ADU-N-0805-17,Central,-1.70317,5.9237,8,2005,Survey,Annual,Ghana,Ashanti,Upper Denkyira,Aduman,stream,lotic,nature,M,N,N,0,0,0,0,0,0,Orthic Acrisols,23.5,80.0,97.4,90.3,7.2,7.2,-58.9,11.86,14.80,5.7,15,16,54,18,1,6.4,3.4,1.6,26.8,7.0,0.000,0.032,0.011,0.126,30.0,26.0,16.0,14.0,31.7,1.59,NA,NA,8,4,0.50,6,3,0,0.00,0.00,3,0,0.00,0.00,5,5,1.00,5,5,0,0.00,0.00,5,0,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,0,#VALUE!,0,0.00,0.00,0,NA,0,NA,1,#VALUE!,#VALUE!
S.5.17,18,UDE-ADW-N-0805-18,Central,-1.70483,5.92645,8,2005,Survey,Annual,Ghana,Ashanti,Upper Denkyira,Adwumam,pond,lentic,human,7,N,N,0,0,0,0,0,0,Orthic Acrisols,27.8,122.0,133,87.7,7.1,6.9,60.5,27.04,26.10,11.6,45,13,73,4,3,7.2,4.4,7.3,5.0,12.7,0.000,0.024,0.006,0.050,36.0,32.0,18.0,18.0,39.0,15.40,NA,NA,8,1,0.13,7,1,0,0.00,0.00,1,0,0.00,0.00,5,5,1.00,5,5,0,0.00,0.00,5,0,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,0,#VALUE!,0,0.00,0.00,0,NA,0,NA,1,#VALUE!,#VALUE!
